Speed:4.023360	 GPSError:-0.683295	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.568048	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.662006	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.735493	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.681235	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.691163	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.678480	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.658637	 GroundSpeed:7.352335
Speed:4.023360	 GPSError:-0.666400	 GroundSpeed:7.177250
Speed:4.023360	 GPSError:-0.620573	 GroundSpeed:7.699786
Speed:4.023360	 GPSError:-0.649110	 GroundSpeed:7.699786
Speed:4.023360	 GPSError:-0.673471	 GroundSpeed:7.177250
Speed:4.023360	 GPSError:-0.661913	 GroundSpeed:7.699786
Speed:4.023360	 GPSError:-0.666801	 GroundSpeed:7.546165
Speed:4.023360	 GPSError:-0.683971	 GroundSpeed:7.699786
Speed:4.023360	 GPSError:-0.674186	 GroundSpeed:7.699786
Speed:4.023360	 GPSError:-0.642209	 GroundSpeed:7.453410
Speed:4.023360	 GPSError:-0.658970	 GroundSpeed:8.039477
Speed:4.023360	 GPSError:-0.663759	 GroundSpeed:8.039477
Speed:4.023360	 GPSError:-0.634790	 GroundSpeed:7.453410
Speed:4.023360	 GPSError:-0.648344	 GroundSpeed:8.039477
Speed:4.023360	 GPSError:-0.630385	 GroundSpeed:7.548635
Speed:4.023360	 GPSError:-0.622711	 GroundSpeed:8.039477
Speed:4.023360	 GPSError:-0.635741	 GroundSpeed:8.039477
Speed:4.023360	 GPSError:-0.613431	 GroundSpeed:7.806293
Speed:4.023360	 GPSError:-0.612667	 GroundSpeed:8.338528
Speed:4.023360	 GPSError:-0.619698	 GroundSpeed:8.338528
Speed:4.023360	 GPSError:-0.633200	 GroundSpeed:7.462538
Speed:4.023360	 GPSError:-0.642161	 GroundSpeed:8.338528
Speed:4.023360	 GPSError:-0.632828	 GroundSpeed:7.551156
Speed:4.023360	 GPSError:-0.612961	 GroundSpeed:8.338528
Speed:4.023360	 GPSError:-0.611817	 GroundSpeed:8.338528
Speed:4.023360	 GPSError:-0.617974	 GroundSpeed:8.134784
Speed:4.023360	 GPSError:-0.625294	 GroundSpeed:8.596291
Speed:4.023360	 GPSError:-0.622638	 GroundSpeed:8.596291
Speed:4.023360	 GPSError:-0.613097	 GroundSpeed:7.465439
Speed:4.023360	 GPSError:-0.612950	 GroundSpeed:8.596291
Speed:4.023360	 GPSError:-0.600365	 GroundSpeed:7.553715
Speed:4.023360	 GPSError:-0.605456	 GroundSpeed:8.596291
